game_year,batter,stand,p_throws,zone,pitch_type,ball_in_play,foul,swinging_strike,total_swings,pct_swinging_strike,pct_foul,pct_ball_in_play
2024,444482,L,R,7,SL,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
2024,444482,L,R,7,ST,3,0,0,3,0.0,0.0,1.0
2024,444482,L,R,8,CH,7,1,0,8,0.0,0.125,0.875
2024,444482,L,R,8,CU,2,0,1,3,0.3333333333333333,0.0,0.6666666666666666
2024,444482,L,R,8,FC,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
2024,444482,L,R,8,FF,6,4,0,10,0.0,0.4,0.6
2024,444482,L,R,8,FS,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
2024,444482,L,R,8,SI,5,0,0,5,0.0,0.0,1.0
2024,444482,L,R,8,SL,2,6,2,10,0.2,0.6,0.2
2024,444482,L,R,8,ST,2,2,0,4,0.0,0.5,0.5
2024,444482,L,R,9,CH,1,0,1,2,0.5,0.0,0.5
2024,444482,L,R,9,CU,1,0,2,3,0.6666666666666666,0.0,0.3333333333333333
2024,444482,L,R,9,FC,0,2,0,2,0.0,1.0,0.0
2024,444482,L,R,9,FF,1,4,0,5,0.0,0.8,0.2
2024,444482,L,R,9,FS,0,0,1,1,1.0,0.0,0.0
2024,444482,L,R,9,KC,0,2,1,3,0.3333333333333333,0.6666666666666666,0.0
2024,444482,L,R,9,SI,1,1,0,2,0.0,0.5,0.5
2024,444482,L,R,9,SL,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
2024,444482,L,R,11,FC,0,0,1,1,1.0,0.0,0.0
2024,444482,L,R,11,FF,3,15,6,24,0.25,0.625,0.125
2024,444482,L,R,11,SI,0,1,1,2,0.5,0.5,0.0
2024,444482,L,R,12,CU,1,0,0,1,0.0,0.0,1.0
2024,444482,L,R,12,FC,0,3,0,3,0.0,1.0,0.0
2024,444482,L,R,12,FF,2,7,2,11,0.18181818181818182,0.6363636363636364,0.18181818181818182
2024,444482,L,R,12,SL,0,1,0,1,0.0,1.0,0.0
2024,444482,L,R,13,CH,5,2,10,17,0.5882352941176471,0.11764705882352941,0.29411764705882354
2024,444482,L,R,13,CU,0,2,4,6,0.6666666666666666,0.3333333333333333,0.0
2024,444482,L,R,13,FC,0,1,0,1,0.0,1.0,0.0
2024,444482,L,R,13,FF,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
2024,444482,L,R,13,FS,2,0,6,8,0.75,0.0,0.25
2024,444482,L,R,13,KC,0,1,1,2,0.5,0.5,0.0
2024,444482,L,R,13,SI,4,5,2,11,0.18181818181818182,0.45454545454545453,0.36363636363636365
2024,444482,L,R,13,SL,0,2,7,9,0.7777777777777778,0.2222222222222222,0.0
2024,444482,L,R,13,ST,1,0,0,1,0.0,0.0,1.0
2024,444482,L,R,14,CH,0,1,2,3,0.6666666666666666,0.3333333333333333,0.0
2024,444482,L,R,14,CU,1,0,5,6,0.8333333333333334,0.0,0.16666666666666666
2024,444482,L,R,14,FC,0,9,5,14,0.35714285714285715,0.6428571428571429,0.0
2024,444482,L,R,14,FF,3,2,0,5,0.0,0.4,0.6
2024,444482,L,R,14,FS,0,0,3,3,1.0,0.0,0.0
2024,444482,L,R,14,KC,0,0,1,1,1.0,0.0,0.0
2024,444482,L,R,14,SI,2,2,1,5,0.2,0.4,0.4
2024,444482,L,R,14,SL,1,3,13,17,0.7647058823529411,0.17647058823529413,0.058823529411764705
2024,444482,L,R,14,ST,0,2,3,5,0.6,0.4,0.0
2024,453568,L,L,1,FF,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
2024,453568,L,L,1,KC,0,1,0,1,0.0,1.0,0.0
2024,453568,L,L,1,SI,1,0,0,1,0.0,0.0,1.0
2024,453568,L,L,2,CU,1,0,0,1,0.0,0.0,1.0
2024,453568,L,L,2,FC,0,3,0,3,0.0,1.0,0.0
2024,453568,L,L,2,FF,8,5,0,13,0.0,0.38461538461538464,0.6153846153846154
2024,453568,L,L,2,SI,3,3,0,6,0.0,0.5,0.5
2024,453568,L,L,2,SL,0,2,0,2,0.0,1.0,0.0
2024,453568,L,L,2,ST,1,1,0,2,0.0,0.5,0.5
2024,453568,L,L,3,CH,1,0,0,1,0.0,0.0,1.0
2024,453568,L,L,3,CU,0,1,0,1,0.0,1.0,0.0
2024,453568,L,L,3,FF,1,2,1,4,0.25,0.5,0.25
2024,453568,L,L,3,SI,6,3,0,9,0.0,0.3333333333333333,0.6666666666666666
2024,453568,L,L,3,ST,0,1,0,1,0.0,1.0,0.0
2024,453568,L,L,4,FC,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
2024,453568,L,L,4,FF,4,5,2,11,0.18181818181818182,0.45454545454545453,0.36363636363636365
2024,453568,L,L,4,SI,1,1,0,2,0.0,0.5,0.5
2024,453568,L,L,4,SL,2,1,0,3,0.0,0.3333333333333333,0.6666666666666666
2024,453568,L,L,5,CU,2,0,0,2,0.0,0.0,1.0
2024,453568,L,L,5,FC,0,1,1,2,0.5,0.5,0.0
2024,453568,L,L,5,FF,6,4,1,11,0.09090909090909091,0.36363636363636365,0.5454545454545454
2024,453568,L,L,5,KC,1,0,0,1,0.0,0.0,1.0
2024,453568,L,L,5,SI,5,1,0,6,0.0,0.16666666666666666,0.8333333333333334
2024,453568,L,L,5,SL,1,0,0,1,0.0,0.0,1.0
2024,453568,L,L,5,ST,0,1,1,2,0.5,0.5,0.0
