outcome,launch_angle_bucket,spray_angle_bucket,runner,plus_1,plus_2,plus_3,n
triple,30-40,-20 to -5,runner_3b_move,1,0,0,1
triple,30-40,-45 to -20,runner_1b_move,0,0,1,1
triple,30-40,-45 to -20,runner_3b_move,1,0,0,1
triple,30-40,-5 to 5,runner_2b_move,0,2,0,2
triple,30-40,-5 to 5,runner_3b_move,1,0,0,1
triple,30-40,20 to 45,runner_1b_move,0,0,8,8
triple,30-40,20 to 45,runner_2b_move,0,6,0,6
triple,30-40,20 to 45,runner_3b_move,5,0,0,5
triple,30-40,5 to 20,runner_1b_move,0,0,6,6
triple,30-40,5 to 20,runner_2b_move,0,3,0,3
triple,30-40,5 to 20,runner_3b_move,4,0,0,4
triple,40-50,20 to 45,runner_1b_move,0,0,1,1
triple,40-50,5 to 20,runner_1b_move,0,0,1,1
triple,50-60,20 to 45,runner_1b_move,0,0,1,1
