game_year,player_name,pitcher,stand,pitch_type,balls,strikes,count,total_count,frequency
2024,"Brown, Hunter",686613,L,FF,0,0,165,390,0.4230769230769231
2024,"Littell, Zack",641793,L,SL,0,0,164,368,0.44565217391304346
2024,"Irvin, Jake",663623,L,FF,0,0,164,407,0.40294840294840295
2024,"Canning, Griffin",656288,L,FF,0,0,164,393,0.4173027989821883
2024,"Severino, Luis",622663,R,SI,0,0,164,384,0.4270833333333333
2024,"Flaherty, Jack",656427,L,FF,0,0,163,354,0.4604519774011299
2024,"Sears, JP",676664,R,ST,0,0,163,619,0.2633279483037157
2024,"Lynn, Lance",458681,L,FF,0,0,163,276,0.5905797101449275
2024,"Kikuchi, Yusei",579328,R,FF,0,1,163,344,0.4738372093023256
2024,"Glasnow, Tyler",607192,L,FF,0,0,163,252,0.6468253968253969
2024,"Irvin, Jake",663623,R,SI,0,0,162,383,0.42297650130548303
2024,"Lugo, Seth",607625,L,FF,0,0,162,444,0.36486486486486486
2024,"Taillon, Jameson",592791,L,FF,0,0,162,352,0.4602272727272727
2024,"Blanco, Ronel",669854,R,FF,0,0,162,333,0.4864864864864865
2024,"Civale, Aaron",650644,L,FC,0,0,161,334,0.4820359281437126
2024,"Bibee, Tanner",676440,R,FF,0,0,161,331,0.486404833836858
2024,"Crochet, Garrett",676979,R,FC,0,0,161,495,0.32525252525252524
2024,"Sánchez, Cristopher",650911,R,CH,0,1,161,316,0.509493670886076
2024,"Greene, Hunter",668881,R,FF,0,0,160,311,0.5144694533762058
2024,"Suárez, Ranger",624133,R,SI,0,0,160,518,0.3088803088803089
2024,"Castillo, Luis",622491,L,FF,0,0,159,345,0.4608695652173913
2024,"Estes, Joey",683155,R,FF,0,0,159,291,0.5463917525773195
2024,"Arrighetti, Spencer",681293,L,FF,0,0,157,341,0.4604105571847507
2024,"Manaea, Sean",640455,R,FF,0,0,157,602,0.260797342192691
2024,"Rodón, Carlos",607074,R,FF,1,0,157,259,0.6061776061776062
2024,"Wheeler, Zack",554430,R,SI,0,0,157,387,0.40568475452196384
2024,"Berríos, José",621244,L,FF,0,0,157,429,0.36596736596736595
2024,"Sears, JP",676664,R,FF,0,1,156,306,0.5098039215686274
2024,"Houck, Tanner",656557,R,ST,0,0,156,347,0.4495677233429395
2024,"Fedde, Erick",607200,R,SI,0,0,156,364,0.42857142857142855
2024,"Skubal, Tarik",669373,R,CH,0,1,155,393,0.3944020356234097
2024,"Pepiot, Ryan",686752,R,FF,0,0,155,255,0.6078431372549019
2024,"Castillo, Luis",622491,R,FF,0,0,155,376,0.4122340425531915
2024,"Bello, Brayan",678394,L,SI,0,0,155,389,0.39845758354755784
2024,"Fried, Max",608331,R,CU,0,0,155,558,0.2777777777777778
2024,"Pivetta, Nick",601713,R,FF,0,0,154,320,0.48125
2024,"Hendricks, Kyle",543294,R,SI,0,0,154,281,0.5480427046263345
2024,"Cortes, Nestor",641482,R,FC,0,0,153,561,0.2727272727272727
2024,"Peterson, David",656849,R,SI,0,0,153,382,0.4005235602094241
2024,"Suárez, Albert",544150,L,FF,0,0,152,261,0.5823754789272031
2024,"Soriano, José",667755,L,SI,0,0,152,264,0.5757575757575758
2024,"Canning, Griffin",656288,R,FF,0,0,151,357,0.42296918767507
2024,"Irvin, Jake",663623,L,CU,0,0,151,407,0.371007371007371
2024,"Keller, Mitch",656605,R,SI,0,0,151,384,0.3932291666666667
2024,"Lively, Ben",594902,L,FF,0,0,149,304,0.4901315789473684
2024,"Imanaga, Shota",684007,R,FF,0,1,149,309,0.48220064724919093
2024,"Morton, Charlie",450203,L,CU,0,0,149,386,0.3860103626943005
2024,"López, Pablo",641154,R,FF,0,0,148,406,0.3645320197044335
2024,"Fedde, Erick",607200,L,FC,0,0,148,379,0.39050131926121373
2024,"Pivetta, Nick",601713,L,FF,0,0,148,291,0.5085910652920962
2024,"Gray, Sonny",543243,L,FF,0,0,148,317,0.4668769716088328
