inning,runs_scored_game,runs_scored_inning,total_appearances,total_pulled,pull_probability
4,8,0,7,1,0.14285714285714285
4,8,1,16,10,0.625
4,8,2,16,12,0.75
4,8,3,17,14,0.8235294117647058
4,8,4,15,13,0.8666666666666667
4,8,5,4,4,1.0
4,8,6,2,2,1.0
4,8,7,2,1,0.5
4,8,8,3,1,0.3333333333333333
4,9,0,2,0,0.0
4,9,1,3,2,0.6666666666666666
4,9,2,7,6,0.8571428571428571
4,9,3,3,3,1.0
4,9,4,6,6,1.0
4,9,5,2,2,1.0
4,9,6,2,2,1.0
4,9,7,2,2,1.0
4,10,0,1,0,0.0
4,10,1,2,2,1.0
4,10,2,3,3,1.0
4,10,3,1,1,1.0
4,10,4,1,1,1.0
4,10,5,1,1,1.0
4,10,8,1,1,1.0
4,11,1,2,2,1.0
4,11,2,2,2,1.0
4,11,6,1,1,1.0
4,13,3,1,1,1.0
5,0,0,9354,672,0.0718409236690186
5,1,0,3287,745,0.22665044113173105
5,1,1,1904,228,0.11974789915966387
5,2,0,2355,727,0.3087048832271762
5,2,1,638,256,0.4012539184952978
5,2,2,889,146,0.16422947131608548
5,3,0,1470,567,0.38571428571428573
5,3,1,493,241,0.48884381338742394
5,3,2,270,151,0.5592592592592592
5,3,3,455,86,0.189010989010989
5,4,0,796,399,0.5012562814070352
5,4,1,297,181,0.6094276094276094
5,4,2,250,164,0.656
5,4,3,125,84,0.672
5,4,4,186,46,0.24731182795698925
5,5,0,391,221,0.5652173913043478
5,5,1,178,136,0.7640449438202247
5,5,2,145,107,0.7379310344827587
5,5,3,90,60,0.6666666666666666
5,5,4,33,28,0.8484848484848485
5,5,5,63,14,0.2222222222222222
5,6,0,124,73,0.5887096774193549
5,6,1,72,60,0.8333333333333334
5,6,2,79,64,0.810126582278481
5,6,3,57,45,0.7894736842105263
5,6,4,20,18,0.9
5,6,5,14,11,0.7857142857142857
5,6,6,20,8,0.4
5,7,0,50,35,0.7
5,7,1,30,24,0.8
5,7,2,28,25,0.8928571428571429
5,7,3,24,17,0.7083333333333334
5,7,4,18,17,0.9444444444444444
5,7,5,7,5,0.7142857142857143
5,7,6,5,4,0.8
5,7,7,11,1,0.09090909090909091
