game_year,batter,stand,p_throws,outcome,zone,ev_bucket,skew,mean,std,n,level
2024,444482,L,L,,,,-0.8713281621339601,19.652125545408623,27.943712681365376,12,global
2024,444482,L,R,out,4,,4.237722487796847,-26.476534891466525,40.13190525521473,20,outcome_zone
2024,444482,L,R,out,5,,8.352101820127853,-40.35901239218556,52.61154167027627,14,outcome_zone
2024,444482,L,R,out,6,,6.733364761243596,-12.514937282416263,37.730677257074014,12,outcome_zone
2024,444482,L,R,out,8,,14318826.682262018,-21.000015631819892,43.56789089762515,16,outcome_zone
2024,444482,L,R,out,13,,1.0057767292575457,-21.600696564654264,33.69227370269661,11,outcome_zone
2024,444482,L,R,double,,,-8402303.68611281,27.000007687468113,12.505475505794124,10,outcome
2024,444482,L,R,out,,,0.4097502380196996,-1.9455313363810638,32.099261945637565,111,outcome
2024,444482,L,R,single,,,-6.861918232611867,23.279845924390962,18.723500543233968,41,outcome
2024,444482,L,R,,,,-0.8686169967454297,25.055131538619452,30.2235547911717,170,global
2024,453568,L,L,out,8,,-6745762.150070924,35.00003167065057,43.55297951986259,12,outcome_zone
2024,453568,L,L,out,,,-0.35193082971396794,23.511424359936104,34.46421441968528,68,outcome
2024,453568,L,L,single,,,-0.39042778898118025,11.44282706855602,10.65800622762433,20,outcome
2024,453568,L,L,,,,-0.6238707120591901,28.125205755942275,31.647604864397408,100,global
2024,453568,L,R,out,1,,-5.549375834178825,76.24165081422753,48.2729850005537,14,outcome_zone
2024,453568,L,R,out,2,,-16008753.10114796,85.00002032120025,63.17517585226106,10,outcome_zone
2024,453568,L,R,out,3,,-23962654.59546961,72.0000117127455,54.692039019283186,10,outcome_zone
2024,453568,L,R,out,4,,-3.4185382036077723,53.481714616241916,55.56464902699471,21,outcome_zone
2024,453568,L,R,out,5,,4.384851754610591,-18.681301095689886,45.290714857461055,25,outcome_zone
2024,453568,L,R,out,6,,-6445857.739554697,60.000025479260444,33.66721122706987,11,outcome_zone
2024,453568,L,R,out,7,,2.4933417413732055,-13.657630184324681,45.39735821554306,16,outcome_zone
2024,453568,L,R,out,8,,-3.862641280592573,51.95502249062933,42.83550833062418,25,outcome_zone
2024,453568,L,R,out,9,,-8213915.875245906,56.00004059742746,65.29254514948587,10,outcome_zone
2024,453568,L,R,out,13,,1.5805357976113446,-27.635948413465243,32.94286187263236,17,outcome_zone
2024,453568,L,R,out,14,,-0.5142265631836289,23.11306484825483,29.76900316780314,16,outcome_zone
2024,453568,L,R,single,4,,-1792781.9686612254,22.00006105535742,24.819288898604086,12,outcome_zone
2024,453568,L,R,single,8,,11565775.606724322,-2.000006436091004,15.16753005432895,11,outcome_zone
2024,453568,L,R,single,13,,-10913951.639112871,34.000020547266104,44.02404378631536,10,outcome_zone
2024,453568,L,R,double,,,-2.3507768180020103,29.910329856040292,19.138258756731016,19,outcome
2024,453568,L,R,home_run,,,4889249.627833635,21.999992783612427,7.379429380039184,11,outcome
2024,453568,L,R,out,,,-1.0937791962391015,43.77701756163948,42.128933786749535,187,outcome
2024,453568,L,R,single,,,-3.3401428255880563,26.878214120588385,26.95942946437814,59,outcome
2024,453568,L,R,,,,-0.9071820468918559,35.5908406119497,35.30717900303526,279,global
2024,455117,R,L,out,,,-40098562.10522662,65.00000733128081,56.60063522151012,24,outcome
2024,455117,R,L,,,,-14945263.580949329,65.00001826341429,55.97589888054006,26,global
2024,455117,R,R,out,,,-4.666152045929484,65.3116896960185,60.63743109062321,47,outcome
2024,455117,R,R,,,,-1.9215926625319297,49.64755633705164,46.776113632858014,61,global
2024,456781,R,L,out,6,,4.936052145427071,-22.267366044212842,47.96989308786209,12,outcome_zone
2024,456781,R,L,out,,,-0.8027299038409561,37.01483494533615,34.680012129808105,53,outcome
2024,456781,R,L,single,,,2.570723497642507,0.2926677267235729,17.904897341428168,25,outcome
2024,456781,R,L,,,,0.7001861859307992,5.426989422346965,28.06132494941278,85,global
2024,456781,R,R,out,1,,0.4329813496874884,8.077865057526461,19.30907944355758,10,outcome_zone
2024,456781,R,R,out,5,,0.24356126809433865,10.635775703040508,24.87882345129737,15,outcome_zone
2024,456781,R,R,out,6,,-90966090.14098349,41.00000332016043,53.58620876432113,13,outcome_zone
2024,456781,R,R,double,,,-5558334.633979745,27.00001415204195,15.875678009056024,10,outcome
2024,456781,R,R,out,,,-1.1772449708469601,32.58514033534193,35.37718994975823,84,outcome
2024,456781,R,R,single,,,-2.5181429060939937,23.652250891331505,22.573547004025443,35,outcome
2024,456781,R,R,,,,-1.107592570379194,28.30824523380538,29.82731019679704,133,global
2024,457705,R,L,out,9,,-2.111758406432631,47.11073550096435,30.32733073332855,12,outcome_zone
2024,457705,R,L,out,,,-1.326779927011001,50.278016976279176,45.30175026390407,56,outcome
2024,457705,R,L,single,,,-1.8257730702378856,27.416597785789527,29.23030433968526,18,outcome
2024,457705,R,L,,,,-1.0454346302771849,40.57103526327875,37.99242015829959,83,global
2024,457705,R,R,out,1,,-1.1436448358847198,37.91824758122435,43.66585736940887,17,outcome_zone
2024,457705,R,R,out,2,,-37718079.23872583,76.00000693870436,46.716406856698825,14,outcome_zone
2024,457705,R,R,out,4,,3.593464690737461,-12.82163883570993,35.502487084790786,16,outcome_zone
2024,457705,R,R,out,5,,0.04877784343005603,14.170545563175825,33.48547308229138,36,outcome_zone
2024,457705,R,R,out,6,,-3.02324978622142,45.72491317367695,51.98441554001408,21,outcome_zone
2024,457705,R,R,out,8,,10.117934738388092,-35.88309646637435,57.29555487545706,16,outcome_zone
