game_year,batter,stand,p_throws,outcome,zone,ev_bucket,launch_angle_bucket,skew,mean,std,n,level
2024,444482,L,L,,,,,3.509865649775916,-25.654215803229697,26.969995571372355,13,global
2024,444482,L,R,out,4,,,-21948080.331053406,41.707475185405826,39.603288365739786,20,outcome_zone
2024,444482,L,R,out,5,,,-7.745083706079485,33.15185802983498,33.443960824490325,14,outcome_zone
2024,444482,L,R,out,6,,,-76038.10787472618,35.0849010623993,41.97921872681282,12,outcome_zone
2024,444482,L,R,out,8,,,-27396622.13015794,38.83954994143063,33.03444521195814,16,outcome_zone
2024,444482,L,R,out,13,,,0.28655119830594855,-1.0975958730814743,22.764231624438644,11,outcome_zone
2024,444482,L,R,double,,,,-22857004.59362427,36.83994162189124,37.587757148694834,10,outcome
2024,444482,L,R,out,,,,-18.038671567293463,39.169971083445105,40.05819632300407,114,outcome
2024,444482,L,R,single,,,,-11774183.62263009,29.83034037404648,33.006833733508586,46,outcome
2024,444482,L,R,,,,,-15.956724857846861,38.240935266955816,38.72149282795378,179,global
2024,453568,L,L,out,8,,,-54195019.70999631,32.62712468724597,23.82989407040344,12,outcome_zone
2024,453568,L,L,out,,,,-11.372804420138706,35.028574550505056,37.79492789845537,68,outcome
2024,453568,L,L,single,,,,-5282836.602221681,31.793907831701915,33.75686707559193,20,outcome
2024,453568,L,L,,,,,-11.381009986229229,35.503126671286196,37.33354525728001,100,global
2024,453568,L,R,out,1,,,57648202.87200162,-22.07316364772224,23.234443544537342,14,outcome_zone
2024,453568,L,R,out,2,,,-42364421.02032271,37.66470767255757,46.19957432476025,10,outcome_zone
2024,453568,L,R,out,3,,,-2.0060084895550996,41.364584356242034,32.210750422995446,10,outcome_zone
2024,453568,L,R,out,4,,,-38333290.46903394,37.54690117784662,41.28257487942673,21,outcome_zone
2024,453568,L,R,out,5,,,-4626077.919485607,36.29064064001194,37.433427009716574,25,outcome_zone
2024,453568,L,R,out,6,,,-3.372618813226309,26.554691986153422,25.142712381806504,11,outcome_zone
2024,453568,L,R,out,7,,,-24598299.86929229,28.66862915437588,32.30529384952311,16,outcome_zone
2024,453568,L,R,out,8,,,2.8338503775830124,-17.31015334116063,30.965158645288753,25,outcome_zone
2024,453568,L,R,out,9,,,-52348.963150400436,35.665694634390476,19.7239699419277,10,outcome_zone
2024,453568,L,R,out,13,,,0.18645804957797907,9.417028019820066,18.32800033267317,17,outcome_zone
2024,453568,L,R,out,14,,,-171451.05881442188,41.7761317974462,30.634339647015125,16,outcome_zone
2024,453568,L,R,single,4,,,-52786640.376407295,31.835091544079006,24.35368985536803,12,outcome_zone
2024,453568,L,R,single,8,,,-58497390.04497035,30.744648381291,27.02400891625294,12,outcome_zone
2024,453568,L,R,single,13,,,5.921015173206422,-6.897350318323442,15.981362585673754,10,outcome_zone
2024,453568,L,R,double,,,,-36785172.630746245,38.52542406956118,29.713133612765844,20,outcome
2024,453568,L,R,home_run,,,,-40990455.04864146,33.54052793623852,12.332780761118869,11,outcome
2024,453568,L,R,out,,,,-5.1942654073102785,37.88195996344899,37.674762216519554,191,outcome
2024,453568,L,R,single,,,,-14.338193499815432,33.10173551941956,29.80085839011712,61,outcome
2024,453568,L,R,,,,,-5.455716706971243,37.17575315993607,35.15761023315423,286,global
2024,455117,R,L,out,,,,6.404523271554224,-29.51085998737547,34.45901719065036,26,outcome
2024,455117,R,L,,,,,5.477700427510003,-32.052156089562914,35.14966910838879,28,global
2024,455117,R,R,out,,,,2.544068013882725,-31.607115502873476,36.644374602155594,50,outcome
2024,455117,R,R,,,,,3.179817535303054,-36.004826819139865,37.656174854221646,66,global
2024,456781,R,L,out,6,,,22692781.55092307,-25.740008589185095,28.18287983922029,12,outcome_zone
2024,456781,R,L,out,8,,,27949047.78731312,-33.33700387216601,33.38204772815004,10,outcome_zone
2024,456781,R,L,out,,,,22330627.239649087,-34.359291867147945,43.33363860373308,54,outcome
2024,456781,R,L,single,,,,34524876.78361732,-35.658958987884176,39.52300812143072,25,outcome
2024,456781,R,L,,,,,82425933.55090201,-35.6589558372155,41.69626780590917,86,global
2024,456781,R,R,out,1,,,1.9249447875709684,-18.747166336074244,24.002941115767687,10,outcome_zone
2024,456781,R,R,out,5,,,-7700507.469014399,21.680870764142014,28.272857006625742,15,outcome_zone
2024,456781,R,R,out,6,,,-6.119441311483035,26.06826298912148,23.36698421861829,13,outcome_zone
2024,456781,R,R,double,,,,37214820.5014949,-37.82290591707735,31.28969961922339,10,outcome
2024,456781,R,R,out,,,,0.6183718460671732,-9.623226256054641,23.681090333459395,84,outcome
2024,456781,R,R,single,,,,-2.096123925431348,18.434373409072165,23.176602817042387,35,outcome
2024,456781,R,R,,,,,-0.5494267153036198,7.4619450483018825,22.572836287962698,133,global
2024,457705,R,L,out,9,,,-4.345102077988577,16.361851030019217,26.42665984527532,12,outcome_zone
2024,457705,R,L,out,,,,-4.839222820233676,22.20623760480921,38.38272938486169,56,outcome
2024,457705,R,L,single,,,,11694492.932886502,-37.50116475028969,37.87498898445674,18,outcome
2024,457705,R,L,,,,,-1.7352688104539422,14.154521096889454,32.081200102016396,83,global
2024,457705,R,R,out,1,,,30156076.225107595,-34.32538603734298,45.74422713388175,17,outcome_zone
2024,457705,R,R,out,2,,,1.490150640327618,-25.416169532604478,41.181712880271874,14,outcome_zone
2024,457705,R,R,out,4,,,2.0312307440524746,-25.645837146667276,26.625767840864206,16,outcome_zone
2024,457705,R,R,out,5,,,114649984.68771106,-31.22823496277516,38.17541274419685,36,outcome_zone
