game_year,batter,bats
2024,664702,R
2024,664728,L
2024,664731,R
2024,664761,R
2024,664770,L
2024,664774,L
2024,664874,R
2024,664901,R
2024,664913,L
2024,664954,L
2024,664983,L
2024,665019,L
2024,665052,L
2024,665120,L
2024,665155,L
2024,665161,R
2024,665482,R
2024,665487,R
2024,665489,R
2024,665506,R
2024,665561,B
2024,665648,R
2024,665742,L
2024,665750,B
2024,665782,R
2024,665804,R
2024,665828,B
2024,665833,L
2024,665839,L
2024,665846,R
2024,665856,R
2024,665861,R
2024,665862,L
2024,665877,R
2024,665888,R
2024,665912,R
2024,665922,L
2024,665923,R
2024,665926,L
2024,665953,R
2024,665966,R
2024,665987,R
2024,665989,R
2024,665998,L
2024,666018,L
2024,666023,R
2024,666126,L
2024,666133,L
2024,666134,L
2024,666135,L
2024,666139,L
2024,666140,R
2024,666149,R
2024,666150,L
2024,666152,L
2024,666158,L
2024,666160,L
2024,666163,L
2024,666165,L
2024,666176,R
2024,666179,L
2024,666181,L
2024,666182,R
2024,666183,L
2024,666185,B
2024,666197,R
2024,666211,L
2024,666310,L
2024,666397,L
2024,666464,R
2024,666624,R
2024,666703,R
2024,666783,R
2024,666801,L
2024,666915,R
2024,666931,R
2024,666969,R
2024,666971,R
2024,667240,R
2024,667372,R
2024,667428,R
2024,667452,R
2024,667472,R
2024,667663,R
2024,667670,R
2024,667690,R
2024,667803,L
2024,668227,R
2024,668472,L
2024,668664,R
2024,668667,L
2024,668670,R
2024,668709,L
2024,668715,R
2024,668721,R
2024,668723,R
2024,668731,L
2024,668752,L
2024,668756,L
2024,668787,L
2024,668791,R
2024,668800,R
2024,668804,B
2024,668824,L
2024,668832,L
2024,668833,L
2024,668843,L
2024,668845,R
2024,668853,L
2024,668860,R
2024,668876,R
2024,668885,R
2024,668901,R
2024,668904,R
2024,668929,L
2024,668930,L
2024,668939,B
2024,668942,L
2024,668952,R
2024,668974,R
2024,669002,L
2024,669003,L
2024,669004,L
2024,669016,L
2024,669023,R
2024,669065,L
2024,669087,R
2024,669127,R
2024,669134,R
2024,669137,R
2024,669200,R
2024,669208,R
2024,669221,R
2024,669222,R
2024,669224,L
2024,669227,R
2024,669234,R
2024,669242,B
2024,669256,R
2024,669257,R
2024,669261,L
2024,669288,L
2024,669289,R
2024,669304,R
2024,669309,R
2024,669326,R
2024,669336,R
2024,669352,R
2024,669357,L
2024,669360,R
2024,669364,B
2024,669369,B
2024,669374,R
2024,669384,L
2024,669392,R
2024,669394,R
2024,669397,R
2024,669398,L
2024,669413,L
2024,669439,R
2024,669450,R
2024,669471,R
2024,669477,R
2024,669649,L
2024,669699,L
2024,669701,L
2024,669707,R
2024,669717,R
2024,669720,R
2024,669722,R
2024,669742,L
2024,669743,R
2024,669911,B
2024,669945,L
2024,670032,L
2024,670042,L
2024,670092,L
2024,670097,R
2024,670113,R
2024,670156,L
2024,670190,R
2024,670208,L
2024,670223,L
2024,670224,L
2024,670231,L
2024,670237,R
2024,670242,L
2024,670276,L
2024,670351,L
2024,670541,L
2024,670623,R
2024,670712,R
2024,670764,B
2024,670768,L
2024,670770,L
2024,670868,R
2024,670869,L
2024,671056,R
2024,671083,R
2024,671088,L
2024,671113,R
2024,671117,L
2024,671155,L
2024,671213,L
2024,671218,R
2024,671221,L
2024,671271,L
2024,671272,R
2024,671277,L
2024,671284,R
2024,671286,R
2024,671287,L
2024,671289,R
2024,671732,L
2024,671739,L
2024,671913,R
2024,671956,L
2024,672012,L
2024,672018,R
2024,672275,B
2024,672279,L
2024,672284,L
2024,672356,R
2024,672357,R
2024,672361,L
2024,672373,R
2024,672386,R
2024,672463,R
2024,672515,R
2024,672537,R
2024,672569,B
2024,672580,R
2024,672640,R
2024,672642,B
2024,672695,B
2024,672701,L
2024,672724,R
2024,672744,R
2024,672761,B
2024,672820,R
2024,672832,R
2024,672850,R
2024,673237,R
2024,673357,R
2024,673490,R
2024,673548,R
2024,673901,R
2024,673962,R
2024,673995,R
2024,674441,L
2024,674646,L
2024,674951,R
2024,675085,R
2024,675394,R
2024,675455,L
2024,675628,L
2024,675656,R
2024,675659,L
2024,675910,R
2024,675915,R
2024,675961,R
2024,675994,R
2024,676017,R
2024,676024,L
2024,676044,L
2024,676045,R
2024,676053,R
2024,676059,R
2024,676070,R
2024,676113,L
2024,676116,L
2024,676155,L
2024,676198,R
2024,676288,L
2024,676309,L
2024,676332,R
2024,676356,R
2024,676369,R
2024,676391,R
2024,676423,R
2024,676439,L
2024,676463,L
2024,676466,R
2024,676473,R
2024,676475,L
2024,676480,R
2024,676509,R
2024,676545,L
2024,676551,R
2024,676566,R
2024,676572,R
2024,676609,R
2024,676625,R
2024,676628,L
2024,676632,L
2024,676679,R
2024,676694,R
2024,676701,R
2024,676724,L
2024,676801,R
2024,676812,R
2024,676857,R
2024,676896,R
2024,676914,R
2024,676939,R
2024,676946,R
2024,677008,L
2024,677049,L
2024,677060,R
2024,677319,L
2024,677341,R
2024,677342,L
2024,677347,R
2024,677356,L
2024,677578,L
2024,677587,B
2024,677588,L
2024,677592,R
2024,677594,R
2024,677599,R
2024,677601,R
2024,677649,R
2024,677800,L
2024,677870,R
2024,677941,R
2024,677942,R
2024,677943,R
2024,677950,L
2024,677951,R
2024,677954,R
2024,677956,R
2024,678006,L
2024,678009,L
2024,678010,L
2024,678021,R
2024,678099,L
2024,678225,L
2024,678232,R
2024,678246,R
2024,678285,R
2024,678323,R
2024,678391,L
2024,678413,R
2024,678489,B
2024,678545,R
2024,678554,R
2024,678662,R
2024,678689,R
2024,678706,L
2024,678742,R
2024,678760,R
2024,678807,L
2024,678828,R
2024,678837,R
2024,678863,R
2024,678877,R
2024,678882,R
2024,678893,L
2024,678894,R
2024,678900,L
2024,678926,R
2024,679032,R
2024,679529,R
2024,679545,R
2024,679602,R
2024,679663,L
2024,679734,R
2024,679741,R
2024,679751,R
2024,679754,L
2024,679788,L
2024,679821,L
2024,679822,R
2024,679845,R
2024,679881,L
2024,679938,L
2024,680118,R
2024,680244,L
2024,680273,L
2024,680474,R
2024,680518,R
2024,680574,R
2024,680577,L
2024,680636,R
2024,680642,R
2024,680643,R
2024,680672,L
2024,680683,L
2024,680693,L
2024,680695,R
2024,680700,L
2024,680709,L
2024,680711,L
2024,680716,R
2024,680718,L
2024,680719,R
2024,680722,R
2024,680728,L
2024,680737,R
2024,680756,R
