stand,p_throws,zone,pitch_type,total_pitches,total_swings,swing_percentage
R,R,1.0,ST,1963,848,0.43199184921039224
R,R,1.0,SV,151,64,0.423841059602649
R,R,2.0,CH,2164,1488,0.6876155268022182
R,R,2.0,CS,7,3,0.42857142857142855
R,R,2.0,CU,4122,1750,0.4245511887433285
R,R,2.0,EP,59,51,0.864406779661017
R,R,2.0,FA,158,130,0.8227848101265823
R,R,2.0,FC,7003,4930,0.7039840068542054
R,R,2.0,FF,54405,44778,0.8230493520816101
R,R,2.0,FO,7,5,0.7142857142857143
R,R,2.0,FS,591,386,0.6531302876480541
R,R,2.0,KC,1527,678,0.444007858546169
R,R,2.0,KN,138,101,0.7318840579710145
R,R,2.0,SI,16176,10738,0.6638229475766568
R,R,2.0,SL,14586,8614,0.5905662964486494
R,R,2.0,ST,2650,1629,0.6147169811320755
R,R,2.0,SV,186,99,0.532258064516129
R,R,3.0,CH,981,508,0.5178389398572885
R,R,3.0,CS,4,2,0.5
R,R,3.0,CU,2466,993,0.402676399026764
R,R,3.0,EP,51,37,0.7254901960784313
R,R,3.0,FA,142,102,0.7183098591549296
R,R,3.0,FC,6931,4427,0.6387245707690088
R,R,3.0,FF,44641,30970,0.6937568602853879
R,R,3.0,FO,1,1,1.0
R,R,3.0,FS,237,125,0.5274261603375527
R,R,3.0,KC,778,287,0.36889460154241643
R,R,3.0,KN,129,82,0.6356589147286822
R,R,3.0,PO,2,0,0.0
R,R,3.0,SC,2,1,0.5
R,R,3.0,SI,9825,4049,0.4121119592875318
R,R,3.0,SL,11784,6223,0.5280889341479973
R,R,3.0,ST,2320,1446,0.6232758620689656
R,R,3.0,SV,118,64,0.5423728813559322
R,R,4.0,CH,6758,5928,0.877182598401894
R,R,4.0,CS,9,5,0.5555555555555556
R,R,4.0,CU,5675,2955,0.520704845814978
R,R,4.0,EP,28,20,0.7142857142857143
R,R,4.0,FA,102,79,0.7745098039215687
R,R,4.0,FC,4285,2748,0.6413068844807468
R,R,4.0,FF,34082,26405,0.7747491344404671
R,R,4.0,FO,19,16,0.8421052631578947
R,R,4.0,FS,1998,1736,0.8688688688688688
R,R,4.0,KC,2074,1186,0.5718418514946962
R,R,4.0,KN,137,98,0.7153284671532847
R,R,4.0,SC,8,8,1.0
R,R,4.0,SI,33785,27825,0.8235903507473731
R,R,4.0,SL,14831,8872,0.5982064594430585
R,R,4.0,ST,2855,1478,0.5176882661996497
R,R,4.0,SV,281,146,0.5195729537366548
R,R,5.0,CH,6431,5626,0.8748250660861452
R,R,5.0,CS,13,10,0.7692307692307693
R,R,5.0,CU,8951,5792,0.6470785387107586
R,R,5.0,EP,58,49,0.8448275862068966
R,R,5.0,FA,185,156,0.8432432432432433
R,R,5.0,FC,10498,8430,0.8030100971613641
R,R,5.0,FF,60013,47541,0.7921783613550397
R,R,5.0,FO,24,22,0.9166666666666666
R,R,5.0,FS,1735,1540,0.8876080691642652
R,R,5.0,KC,3128,2023,0.6467391304347826
R,R,5.0,KN,182,152,0.8351648351648352
R,R,5.0,SC,3,2,0.6666666666666666
R,R,5.0,SI,32926,24116,0.7324302982445484
R,R,5.0,SL,30907,22830,0.7386676157504772
R,R,5.0,ST,5483,3941,0.7187670983038482
R,R,5.0,SV,478,345,0.7217573221757322
R,R,6.0,CH,3507,2487,0.7091531223267751
R,R,6.0,CS,7,5,0.7142857142857143
R,R,6.0,CU,7549,4630,0.6133262683799179
R,R,6.0,EP,63,49,0.7777777777777778
R,R,6.0,FA,191,138,0.7225130890052356
R,R,6.0,FC,13887,10783,0.7764816014978037
R,R,6.0,FF,60595,38500,0.6353659542866573
R,R,6.0,FO,4,1,0.25
R,R,6.0,FS,875,654,0.7474285714285714
R,R,6.0,KC,2427,1437,0.5920889987639061
R,R,6.0,KN,202,157,0.7772277227722773
R,R,6.0,SC,3,3,1.0
R,R,6.0,SI,22800,10179,0.44644736842105265
R,R,6.0,SL,33520,24567,0.7329057279236277
R,R,6.0,ST,6143,4703,0.7655868468175159
R,R,6.0,SV,514,358,0.6964980544747081
