pitch_type,stand,count_state,mean_plate_x,mean_plate_z,mean_velo,mean_pfx_x,mean_pfx_z,cov_plate_x_platex,cov_plate_z_plate_z,cov_velo_velo,cov_pfx_x_pfx_x,cov_pfx_z_pfx_z,cov_plate_x_plate_z,cov_plate_x_velo,cov_plate_z_velo,cov_pfx_x_velo,cov_pfx_z_velo,cov_pfx_x_plate_z,cov_pfx_z_plate_z,cov_pfx_x_plate_x,cov_pfx_z_plate_x,cov_pfx_x_pfx_z,count
PO,R,behind,2.013333333333333,4.083333333333334,88.7,-0.66,1.1383333333333334,0.8417466666666666,0.5005066666666665,0.8800000000000046,0.09232000000000003,0.05253666666666666,0.0213066666666666,-0.1657999999999981,-0.3578000000000024,-0.021600000000000983,0.20280000000000067,0.06760000000000002,-0.11785333333333332,-0.08616000000000001,-0.061633333333333346,-0.017279999999999986,6
PO,R,even,2.5443589743589747,3.892735042735043,88.55213675213676,-0.5294017094017095,1.318888888888889,0.8987179045092841,0.8777665929855588,12.07665487768936,0.2945918803418803,0.10518409961685822,-0.03930426613616269,-0.9055912908930095,0.10570962275272573,-0.02344525493663611,-0.042200191570880334,0.10612679781903923,0.04447720306513411,0.04770857648099034,0.057434195402298854,0.0104860153256705,118
SC,L,ahead,-0.3027027027027027,2.3216216216216217,80.25405405405405,-0.5527027027027027,-0.14175675675675678,0.8718638282117733,0.9484000740466495,3.4129285449833455,0.4248391706775271,0.2227900222139949,-0.5182996667900777,-0.01957793409848232,-0.1442395409107744,-0.44341355053683884,-0.04227360236949303,0.057844168826360655,0.05588233987412069,0.027939170677526864,0.03647600888559797,0.15227737874861164,74
SC,L,behind,-0.009999999999999978,1.7021052631578946,80.78421052631579,-0.8484210526315789,-0.20368421052631575,0.7587,0.7170508771929824,2.410292397660819,0.17366959064327486,0.118046783625731,-0.1013222222222222,0.23911111111111097,0.4068128654970763,-0.34630701754386023,0.28499415204678413,0.04037982456140351,-0.005386257309941536,0.049933333333333337,0.024899999999999995,-0.12153274853801171,19
SC,L,even,-0.3038947368421052,2.1725263157894736,80.47789473684212,-0.7001052631578945,-0.13789473684210524,0.7694984994400896,0.9337339753639414,3.3349316909294546,0.30804360582306856,0.1677104143337066,-0.46288367301231803,0.3010512877939527,-0.2694861142217245,-0.19344916013437846,-0.011857222844344597,-0.021473135498320257,0.1039424972004479,0.036541075027995536,0.026018924972004472,0.023511926091825317,95
SC,R,ahead,0.152054794520548,2.053013698630137,79.41917808219178,0.2345205479452055,0.19780821917808222,0.8783332191780824,0.9025213470319636,3.3271270928462697,1.0492251141552509,0.4025201293759512,-0.11095072298325717,-0.3217343987823436,-0.19018359969558638,-1.2639628995433787,-0.5566518264840181,0.1589584094368341,0.13903447488584478,0.42794474885844747,0.2346656773211567,0.5426308789954339,73
SC,R,behind,-0.14049999999999996,2.5575,79.60000000000001,-0.16099999999999998,0.42600000000000005,1.1460786842105262,0.6951776315789473,2.0410526315789532,1.3697147368421052,0.29012,-0.1183381578947369,-0.649947368421053,0.24594736842105328,-0.11626315789473543,-0.1826315789473682,-0.09795526315789482,0.09696315789473682,0.41672052631578954,0.10677684210526318,0.31046421052631584,20
SC,R,even,-0.09861538461538459,2.207076923076923,79.97384615384617,-0.11246153846153847,0.23646153846153845,1.181712115384615,1.0795772596153848,2.8153990384615364,1.0474407211538466,0.39723884615384636,0.02331348557692315,-0.3485882211538459,-0.06723389423076963,-0.8658466346153845,-0.31029711538461474,0.18273175480769233,0.1833426201923076,0.5716581490384615,0.3275096634615383,0.40685209134615374,65
SI,L,ahead,-0.0793095639882884,2.468084894638917,92.96364160849248,-0.4847220539449012,0.7605570460118274,0.8278564162123119,0.7670391985275695,8.97646056982719,1.3422967660573435,0.17730906095404525,-0.02608564189560902,-0.20758245065305944,0.1718209638698781,-0.7143231476283881,0.3059981288058285,-0.08860399660513746,0.07592536731445414,0.23798080376345532,0.004314169090016589,-0.024520433502238183,69360
SI,L,behind,-0.2056656040640289,2.3021198922623207,92.7569850496923,-0.6733873167405389,0.7383818615751792,0.5819109577397455,0.5415788841008639,8.098036334092082,1.166809034174646,0.16657676090489262,-0.068793334591534,-0.028947043048312124,0.03536090937078478,-0.5623925819286952,0.2517061371194147,0.003877076174884662,0.036641766928799356,0.21969381621604817,0.0020222022577977856,-0.01383568942976049,117371
SI,L,even,-0.18939042664296787,2.33755411690679,92.72897908612056,-0.5950522225393777,0.7409599216337546,0.6887170542722828,0.6076114785008091,8.574006498189744,1.259654173481406,0.17464621990951887,-0.050793273439670106,-0.06883951650168664,0.07345437972725771,-0.6014715717836219,0.2662263389805931,0.005480577086540815,0.042450007841133196,0.27555885646960016,-0.0006470724315072277,-0.017777999718649774,154211
SI,R,ahead,-0.10274817979514457,2.3684431917747673,93.06994471539672,-0.5323419944637,0.773871377949398,0.8269580955169298,0.7172151264194002,8.461947767707876,1.2861003739279506,0.17096281111625708,-0.04687399339013788,-0.03893706574128108,0.0839656775320806,-0.4435970783936609,0.23767800849482326,0.13485270962168538,0.07365355501329063,0.2034338383569928,0.00041140543689645705,0.04496312214844083,129009
SI,R,behind,-0.021269775646326004,2.2877905297392642,92.74914337688111,-0.4404762219759987,0.7475445269476922,0.6163905936705735,0.5412280030214646,8.021712659684583,1.40871650198538,0.17049451856105174,-0.08058505670322033,-0.2348924960896798,0.05463207254504106,-0.7355741373356656,0.23207394252283564,0.015316720015893346,0.03833139695010024,0.23378379802291147,0.005082308869316014,0.031368922591772444,181452
SI,R,even,-0.048156520564800506,2.323986015035337,92.71858259682186,-0.48984548206669143,0.7512655915309617,0.7077897913777852,0.5933114585603454,8.542072128057868,1.3545257288341632,0.1728772664867976,-0.08484413198550615,-0.26622588300952504,0.06522879036323928,-0.6992071866887014,0.22183892488966486,0.02804964798322515,0.04286578198132327,0.2629534783565784,0.002808666931517434,0.03199682023590417,266651
SL,L,ahead,-0.0474797846363236,1.659814258836716,85.01248248668988,0.14369894819010637,0.12133361354629518,0.9338816331992372,0.8882191662844999,11.250434040153573,0.3228234496082984,0.14779289735755397,-0.11371855753733234,0.6448713062596028,-0.06676972593944987,0.13766409606674385,0.29444102542781175,0.0033464809409620437,0.06508918919435389,0.19541292846991437,0.0034803534331498886,-0.0076769290293118,99948
