stand,p_throws,zone,pitch_type,ball_in_play,foul,swinging_strike,total_swings,pct_swinging_strike,pct_foul,pct_ball_in_play
L,L,6.0,FO,0,1,0,1,0.0,1.0,0.0
L,L,6.0,FS,13,19,7,39,0.1794871794871795,0.48717948717948717,0.3333333333333333
L,L,6.0,KC,69,58,13,140,0.09285714285714286,0.4142857142857143,0.4928571428571429
L,L,6.0,SI,3601,2654,410,6665,0.06151537884471118,0.39819954988747186,0.540285071267817
L,L,6.0,SL,782,795,159,1736,0.09158986175115208,0.45794930875576034,0.4504608294930876
L,L,6.0,ST,138,183,50,371,0.1347708894878706,0.49326145552560646,0.3719676549865229
L,L,6.0,SV,18,26,1,45,0.022222222222222223,0.5777777777777777,0.4
L,L,7.0,CH,233,180,179,592,0.30236486486486486,0.30405405405405406,0.3935810810810811
L,L,7.0,CU,711,454,402,1567,0.25654116145500955,0.28972559029993616,0.45373324824505423
L,L,7.0,FA,3,1,0,4,0.0,0.25,0.75
L,L,7.0,FC,787,610,515,1912,0.26935146443514646,0.3190376569037657,0.41161087866108786
L,L,7.0,FF,1159,1291,420,2870,0.14634146341463414,0.4498257839721254,0.4038327526132404
L,L,7.0,FS,15,12,11,38,0.2894736842105263,0.3157894736842105,0.39473684210526316
L,L,7.0,KC,197,102,98,397,0.24685138539042822,0.25692695214105793,0.49622166246851385
L,L,7.0,KN,1,1,2,4,0.5,0.25,0.25
L,L,7.0,SI,712,497,176,1385,0.12707581227436823,0.3588447653429603,0.5140794223826715
L,L,7.0,SL,2363,1663,2020,6046,0.33410519351637447,0.27505788951372806,0.3908369169698975
L,L,7.0,ST,410,325,340,1075,0.31627906976744186,0.3023255813953488,0.3813953488372093
L,L,7.0,SV,71,48,42,161,0.2608695652173913,0.2981366459627329,0.4409937888198758
L,L,8.0,CH,448,439,328,1215,0.26995884773662554,0.36131687242798355,0.36872427983539097
L,L,8.0,CU,681,593,340,1614,0.21065675340768278,0.3674101610904585,0.42193308550185876
L,L,8.0,FC,589,443,223,1255,0.17768924302788844,0.3529880478087649,0.4693227091633466
L,L,8.0,FF,1814,1475,332,3621,0.09168737917702292,0.40734603700635186,0.5009665838166253
L,L,8.0,FS,26,18,21,65,0.3230769230769231,0.27692307692307694,0.4
L,L,8.0,KC,167,143,60,370,0.16216216216216217,0.3864864864864865,0.45135135135135135
L,L,8.0,SI,1942,1386,492,3820,0.12879581151832462,0.36282722513089005,0.5083769633507853
L,L,8.0,SL,1867,1519,1020,4406,0.23150249659555153,0.3447571493418066,0.4237403540626419
L,L,8.0,ST,269,247,162,678,0.23893805309734514,0.36430678466076694,0.3967551622418879
L,L,8.0,SV,55,42,18,115,0.1565217391304348,0.3652173913043478,0.4782608695652174
L,L,9.0,CH,286,457,349,1092,0.31959706959706957,0.4184981684981685,0.2619047619047619
L,L,9.0,CU,237,269,106,612,0.17320261437908496,0.4395424836601307,0.3872549019607843
L,L,9.0,FC,133,103,46,282,0.16312056737588654,0.36524822695035464,0.4716312056737589
L,L,9.0,FF,933,711,125,1769,0.07066139061616733,0.40192198982475974,0.5274166195590729
L,L,9.0,FS,15,37,34,86,0.3953488372093023,0.43023255813953487,0.1744186046511628
L,L,9.0,KC,46,75,28,149,0.18791946308724833,0.5033557046979866,0.3087248322147651
L,L,9.0,KN,0,0,1,1,1.0,0.0,0.0
L,L,9.0,SI,1869,1833,713,4415,0.16149490373725933,0.4151755379388449,0.4233295583238958
L,L,9.0,SL,488,555,221,1264,0.17484177215189872,0.43908227848101267,0.3860759493670886
L,L,9.0,ST,88,90,36,214,0.16822429906542055,0.4205607476635514,0.411214953271028
L,L,9.0,SV,16,12,4,32,0.125,0.375,0.5
L,L,11.0,CH,24,15,6,45,0.13333333333333333,0.3333333333333333,0.5333333333333333
L,L,11.0,CU,97,78,56,231,0.24242424242424243,0.33766233766233766,0.4199134199134199
L,L,11.0,EP,3,1,0,4,0.0,0.25,0.75
L,L,11.0,FA,2,1,1,4,0.25,0.25,0.5
L,L,11.0,FC,244,239,173,656,0.26371951219512196,0.3643292682926829,0.3719512195121951
L,L,11.0,FF,879,1977,1269,4125,0.30763636363636365,0.4792727272727273,0.21309090909090908
L,L,11.0,FS,1,3,0,4,0.0,0.75,0.25
L,L,11.0,KC,15,17,9,41,0.21951219512195122,0.4146341463414634,0.36585365853658536
L,L,11.0,SI,123,221,122,466,0.26180257510729615,0.4742489270386266,0.26394849785407726
L,L,11.0,SL,304,316,282,902,0.31263858093126384,0.35033259423503327,0.3370288248337029
L,L,11.0,ST,124,97,114,335,0.3402985074626866,0.28955223880597014,0.3701492537313433
L,L,11.0,SV,9,13,7,29,0.2413793103448276,0.4482758620689655,0.3103448275862069
L,L,12.0,CH,163,313,91,567,0.16049382716049382,0.5520282186948854,0.2874779541446208
L,L,12.0,CU,62,97,35,194,0.18041237113402062,0.5,0.31958762886597936
L,L,12.0,EP,6,3,1,10,0.1,0.3,0.6
L,L,12.0,FA,2,1,1,4,0.25,0.25,0.5
L,L,12.0,FC,55,112,74,241,0.3070539419087137,0.46473029045643155,0.22821576763485477
L,L,12.0,FF,1229,2644,1807,5680,0.3181338028169014,0.46549295774647886,0.2163732394366197
L,L,12.0,FS,5,11,5,21,0.23809523809523808,0.5238095238095238,0.23809523809523808
L,L,12.0,KC,22,31,9,62,0.14516129032258066,0.5,0.3548387096774194
L,L,12.0,SC,0,1,0,1,0.0,1.0,0.0
L,L,12.0,SI,1834,2593,816,5243,0.15563608621018502,0.4945641808125119,0.34979973297730305
L,L,12.0,SL,186,282,175,643,0.27216174183514774,0.4385692068429238,0.2892690513219285
L,L,12.0,ST,26,41,18,85,0.21176470588235294,0.4823529411764706,0.3058823529411765
L,L,12.0,SV,4,4,0,8,0.0,0.5,0.5
L,L,13.0,CH,183,226,540,949,0.5690200210748156,0.23814541622760801,0.1928345626975764
L,L,13.0,CU,790,661,2098,3549,0.5911524373062834,0.18624964778810932,0.2225979149056072
L,L,13.0,EP,1,0,0,1,0.0,0.0,1.0
L,L,13.0,FA,2,0,3,5,0.6,0.0,0.4
L,L,13.0,FC,652,716,1551,2919,0.5313463514902363,0.24528948269955464,0.223364165810209
L,L,13.0,FF,622,849,552,2023,0.2728620860108749,0.41967375185368266,0.3074641621354424
L,L,13.0,FS,10,22,70,102,0.6862745098039216,0.21568627450980393,0.09803921568627451
L,L,13.0,KC,161,147,500,808,0.6188118811881188,0.18193069306930693,0.19925742574257427
L,L,13.0,KN,0,1,0,1,0.0,1.0,0.0
L,L,13.0,SC,1,0,0,1,0.0,0.0,1.0
L,L,13.0,SI,273,303,318,894,0.35570469798657717,0.3389261744966443,0.3053691275167785
L,L,13.0,SL,2237,2110,8356,12703,0.6577973706998347,0.1661024954735102,0.17610013382665513
L,L,13.0,ST,467,431,1435,2333,0.6150878696956709,0.18474067723960566,0.20017145306472353
L,L,13.0,SV,68,76,214,358,0.5977653631284916,0.2122905027932961,0.18994413407821228
L,L,14.0,CH,216,660,937,1813,0.516822945394374,0.36403750689464975,0.11913954771097628
L,L,14.0,CU,157,269,265,691,0.3835021707670043,0.38929088277858176,0.2272069464544139
L,L,14.0,FA,1,0,0,1,0.0,0.0,1.0
L,L,14.0,FC,48,54,67,169,0.39644970414201186,0.31952662721893493,0.28402366863905326
L,L,14.0,FF,475,556,144,1175,0.1225531914893617,0.47319148936170213,0.40425531914893614
L,L,14.0,FO,0,0,1,1,1.0,0.0,0.0
L,L,14.0,FS,19,63,97,179,0.5418994413407822,0.35195530726256985,0.10614525139664804
L,L,14.0,KC,21,63,77,161,0.4782608695652174,0.391304347826087,0.13043478260869565
L,L,14.0,SI,1307,2385,1605,5297,0.30300169907494806,0.4502548612422126,0.24674343968283935
L,L,14.0,SL,294,384,500,1178,0.4244482173174873,0.32597623089983024,0.2495755517826825
L,L,14.0,ST,51,68,41,160,0.25625,0.425,0.31875
L,L,14.0,SV,7,10,18,35,0.5142857142857142,0.2857142857142857,0.2
L,R,1.0,CH,2067,1622,622,4311,0.14428206912549293,0.3762468104848063,0.47947112038970074
L,R,1.0,CS,2,3,1,6,0.16666666666666666,0.5,0.3333333333333333
L,R,1.0,CU,630,558,192,1380,0.1391304347826087,0.4043478260869565,0.45652173913043476
L,R,1.0,EP,29,6,4,39,0.10256410256410256,0.15384615384615385,0.7435897435897436
L,R,1.0,FA,66,44,6,116,0.05172413793103448,0.3793103448275862,0.5689655172413793
L,R,1.0,FC,573,1114,810,2497,0.32438926712054467,0.4461353624349219,0.22947537044453345
L,R,1.0,FF,7718,16367,8727,32812,0.2659697671583567,0.49881141045958793,0.23521882238205535
L,R,1.0,FO,3,3,0,6,0.0,0.5,0.5
L,R,1.0,FS,393,322,113,828,0.13647342995169082,0.3888888888888889,0.4746376811594203
L,R,1.0,KC,256,207,59,522,0.11302681992337164,0.39655172413793105,0.4904214559386973
L,R,1.0,KN,26,29,8,63,0.12698412698412698,0.4603174603174603,0.4126984126984127
L,R,1.0,SC,3,1,0,4,0.0,0.25,0.75
L,R,1.0,SI,2676,3944,1675,8295,0.20192887281494876,0.4754671488848704,0.32260397830018084
L,R,1.0,SL,690,1062,856,2608,0.3282208588957055,0.4072085889570552,0.2645705521472393
L,R,1.0,ST,103,140,90,333,0.2702702702702703,0.42042042042042044,0.30930930930930933
L,R,1.0,SV,19,25,11,55,0.2,0.45454545454545453,0.34545454545454546
L,R,2.0,CH,1054,888,274,2216,0.12364620938628158,0.4007220216606498,0.4756317689530686
L,R,2.0,CS,2,3,2,7,0.2857142857142857,0.42857142857142855,0.2857142857142857
L,R,2.0,CU,773,634,173,1580,0.10949367088607595,0.4012658227848101,0.4892405063291139
L,R,2.0,EP,21,7,0,28,0.0,0.25,0.75
L,R,2.0,FA,54,31,6,91,0.06593406593406594,0.34065934065934067,0.5934065934065934
L,R,2.0,FC,1956,2821,1362,6139,0.2218602378237498,0.45952109464082097,0.3186186675354292
L,R,2.0,FF,13512,21428,8833,43773,0.2017910584150047,0.48952550659082084,0.3086834349941745
L,R,2.0,FO,0,2,0,2,0.0,1.0,0.0
L,R,2.0,FS,229,188,55,472,0.11652542372881355,0.3983050847457627,0.4851694915254237
L,R,2.0,KC,277,235,50,562,0.08896797153024912,0.4181494661921708,0.4928825622775801
L,R,2.0,KN,32,31,17,80,0.2125,0.3875,0.4
L,R,2.0,SC,0,4,0,4,0.0,1.0,0.0
L,R,2.0,SI,2898,3537,1105,7540,0.14655172413793102,0.4690981432360743,0.3843501326259947
L,R,2.0,SL,1350,1774,878,4002,0.2193903048475762,0.4432783608195902,0.3373313343328336
L,R,2.0,ST,182,211,68,461,0.1475054229934924,0.45770065075921906,0.3947939262472885
L,R,2.0,SV,19,33,9,61,0.14754098360655737,0.5409836065573771,0.3114754098360656
L,R,3.0,CH,134,149,38,321,0.11838006230529595,0.46417445482866043,0.4174454828660436
L,R,3.0,CS,1,1,0,2,0.0,0.5,0.5
L,R,3.0,CU,266,233,47,546,0.08608058608058608,0.4267399267399267,0.48717948717948717
L,R,3.0,EP,14,6,1,21,0.047619047619047616,0.2857142857142857,0.6666666666666666
L,R,3.0,FA,33,21,1,55,0.01818181818181818,0.38181818181818183,0.6
L,R,3.0,FC,2398,2731,752,5881,0.12786940996429177,0.46437680666553305,0.40775378337017515
L,R,3.0,FF,9478,13074,3936,26488,0.14859559045605558,0.4935819993959529,0.35782241014799154
L,R,3.0,FS,45,58,13,116,0.11206896551724138,0.5,0.3879310344827586
L,R,3.0,KC,117,85,19,221,0.08597285067873303,0.38461538461538464,0.5294117647058824
L,R,3.0,KN,20,18,10,48,0.20833333333333334,0.375,0.4166666666666667
L,R,3.0,SI,1228,1379,305,2912,0.10473901098901099,0.4735576923076923,0.4217032967032967
L,R,3.0,SL,922,1237,349,2508,0.13915470494417864,0.4932216905901116,0.36762360446570974
L,R,3.0,ST,123,157,35,315,0.1111111111111111,0.4984126984126984,0.3904761904761905
L,R,3.0,SV,11,10,3,24,0.125,0.4166666666666667,0.4583333333333333
L,R,4.0,CH,8629,5198,2393,16220,0.1475339087546239,0.32046855733662144,0.5319975339087546
L,R,4.0,CS,4,0,3,7,0.42857142857142855,0.0,0.5714285714285714
L,R,4.0,CU,2612,1646,433,4691,0.09230441270518014,0.35088467277765933,0.5568109145171605
L,R,4.0,EP,19,9,1,29,0.034482758620689655,0.3103448275862069,0.6551724137931034
L,R,4.0,FA,57,32,4,93,0.043010752688172046,0.34408602150537637,0.6129032258064516
L,R,4.0,FC,1484,1491,506,3481,0.1453605285837403,0.428325193909796,0.42631427750646367
L,R,4.0,FF,10709,16202,5326,32237,0.16521388466668735,0.502590191394981,0.33219592393833175
L,R,4.0,FO,18,6,4,28,0.14285714285714285,0.21428571428571427,0.6428571428571429
L,R,4.0,FS,1767,989,419,3175,0.13196850393700787,0.311496062992126,0.5565354330708662
L,R,4.0,KC,888,548,126,1562,0.08066581306017925,0.3508322663252241,0.5685019206145967
L,R,4.0,KN,55,34,11,100,0.11,0.34,0.55
L,R,4.0,SC,4,7,1,12,0.08333333333333333,0.5833333333333334,0.3333333333333333
L,R,4.0,SI,7850,7694,1857,17401,0.10671800471237285,0.44215849663812423,0.4511234986495029
L,R,4.0,SL,2961,2774,994,6729,0.1477188289493238,0.41224550453262,0.4400356665180562
L,R,4.0,ST,420,381,123,924,0.1331168831168831,0.41233766233766234,0.45454545454545453
L,R,4.0,SV,74,57,19,150,0.12666666666666668,0.38,0.49333333333333335
L,R,5.0,CH,4769,3541,1472,9782,0.15048047434062564,0.3619914127990186,0.48752811286035574
L,R,5.0,CS,8,4,0,12,0.0,0.3333333333333333,0.6666666666666666
L,R,5.0,CU,3343,2155,523,6021,0.08686264740076399,0.3579139677794386,0.5552233848197974
L,R,5.0,EP,22,9,3,34,0.08823529411764706,0.2647058823529412,0.6470588235294118
L,R,5.0,FA,64,33,5,102,0.049019607843137254,0.3235294117647059,0.6274509803921569
L,R,5.0,FC,3885,3213,710,7808,0.09093237704918032,0.4115010245901639,0.49756659836065575
L,R,5.0,FF,18417,21080,5069,44566,0.11374141722389265,0.47300632769375756,0.41325225508234975
L,R,5.0,FO,5,11,5,21,0.23809523809523808,0.5238095238095238,0.23809523809523808
L,R,5.0,FS,1042,793,281,2116,0.1327977315689981,0.3747637051039698,0.4924385633270321
L,R,5.0,KC,1215,786,188,2189,0.0858839652809502,0.3590680676107812,0.5550479671082686
L,R,5.0,KN,54,50,21,125,0.168,0.4,0.432
L,R,5.0,SC,5,1,1,7,0.14285714285714285,0.14285714285714285,0.7142857142857143
L,R,5.0,SI,7933,6087,1024,15044,0.06806700345652753,0.4046131348045732,0.5273198617388992
L,R,5.0,SL,5316,4744,1252,11312,0.11067892503536068,0.41937765205091937,0.46994342291371993
L,R,5.0,ST,826,664,145,1635,0.08868501529051988,0.40611620795107034,0.5051987767584097
L,R,5.0,SV,113,77,18,208,0.08653846153846154,0.3701923076923077,0.5432692307692307
L,R,6.0,CH,757,945,261,1963,0.13295975547631178,0.4814060112073357,0.38563423331635255
L,R,6.0,CS,1,6,0,7,0.0,0.8571428571428571,0.14285714285714285
L,R,6.0,CU,1192,1515,300,3007,0.09976720984369804,0.5038244097106751,0.3964083804456269
L,R,6.0,EP,12,9,3,24,0.125,0.375,0.5
L,R,6.0,FA,32,37,2,71,0.028169014084507043,0.5211267605633803,0.4507042253521127
L,R,6.0,FC,4268,4259,614,9141,0.06716989388469533,0.4659227655617547,0.46690734055354993
L,R,6.0,FF,13998,13133,2259,29390,0.07686287853011228,0.44685267097652265,0.4762844504933651
L,R,6.0,FO,1,4,0,5,0.0,0.8,0.2
L,R,6.0,FS,199,263,73,535,0.13644859813084112,0.491588785046729,0.3719626168224299
L,R,6.0,KC,445,499,114,1058,0.10775047258979206,0.4716446124763705,0.42060491493383745
L,R,6.0,KN,42,45,7,94,0.07446808510638298,0.4787234042553192,0.44680851063829785
L,R,6.0,SI,3335,2472,288,6095,0.04725184577522559,0.4055783429040197,0.5471698113207547
L,R,6.0,SL,3320,4293,880,8493,0.10361474155186624,0.5054750971388202,0.39091016130931355
L,R,6.0,ST,426,652,113,1191,0.0948782535684299,0.5474391267842149,0.35768261964735515
L,R,6.0,SV,59,77,8,144,0.05555555555555555,0.5347222222222222,0.4097222222222222
L,R,7.0,CH,10255,6196,5366,21817,0.24595498922858322,0.28399871659714904,0.4700462941742678
L,R,7.0,CS,5,5,5,15,0.3333333333333333,0.3333333333333333,0.3333333333333333
L,R,7.0,CU,2679,1579,867,5125,0.16917073170731708,0.30809756097560975,0.5227317073170732
L,R,7.0,EP,14,9,9,32,0.28125,0.28125,0.4375
L,R,7.0,FA,21,16,2,39,0.05128205128205128,0.41025641025641024,0.5384615384615384
L,R,7.0,FC,889,568,185,1642,0.11266747868453106,0.3459196102314251,0.5414129110840439
L,R,7.0,FF,4369,4368,952,9689,0.09825575394777583,0.4508205181133244,0.4509237279388998
L,R,7.0,FO,12,12,13,37,0.35135135135135137,0.32432432432432434,0.32432432432432434
L,R,7.0,FS,2159,1390,1103,4652,0.23710232158211522,0.29879621668099743,0.4641014617368874
L,R,7.0,KC,954,582,272,1808,0.1504424778761062,0.3219026548672566,0.5276548672566371
L,R,7.0,KN,33,8,5,46,0.10869565217391304,0.17391304347826086,0.717391304347826
L,R,7.0,SC,3,6,0,9,0.0,0.6666666666666666,0.3333333333333333
L,R,7.0,SI,6273,4318,960,11551,0.08310968747294606,0.37382044844602197,0.543069864081032
L,R,7.0,SL,2985,2057,954,5996,0.1591060707138092,0.3430620413609073,0.49783188792528354
L,R,7.0,ST,375,275,121,771,0.1569390402075227,0.35667963683527887,0.48638132295719844
L,R,7.0,SV,67,39,13,119,0.1092436974789916,0.3277310924369748,0.5630252100840336
L,R,8.0,CH,7071,5774,4321,17166,0.2517185133403239,0.3363625771874636,0.4119189094722125
L,R,8.0,CS,6,9,3,18,0.16666666666666666,0.5,0.3333333333333333
L,R,8.0,CU,3760,3430,1712,8902,0.19231633340822288,0.3853066726578297,0.42237699393394745
L,R,8.0,EP,18,5,3,26,0.11538461538461539,0.19230769230769232,0.6923076923076923
L,R,8.0,FA,34,10,3,47,0.06382978723404255,0.2127659574468085,0.723404255319149
L,R,8.0,FC,2220,1618,520,4358,0.11932078935291418,0.37127122533272144,0.5094079853143644
L,R,8.0,FF,8662,6905,1196,16763,0.07134761080952097,0.41191910755831296,0.516733281632166
L,R,8.0,FO,12,11,11,34,0.3235294117647059,0.3235294117647059,0.35294117647058826
L,R,8.0,FS,1550,1383,1065,3998,0.2663831915957979,0.34592296148074037,0.3876938469234617
L,R,8.0,KC,1361,1328,675,3364,0.20065398335315102,0.3947681331747919,0.4045778834720571
L,R,8.0,KN,41,35,14,90,0.15555555555555556,0.3888888888888889,0.45555555555555555
L,R,8.0,SC,3,1,1,5,0.2,0.2,0.6
L,R,8.0,SI,6566,3939,680,11185,0.06079570853822083,0.35216808225301743,0.5870362092087618
L,R,8.0,SL,5847,5039,2375,13261,0.1790965990498454,0.3799864263630194,0.4409169745871352
L,R,8.0,ST,800,682,296,1778,0.16647919010123735,0.38357705286839144,0.4499437570303712
L,R,8.0,SV,137,104,47,288,0.16319444444444445,0.3611111111111111,0.4756944444444444
L,R,9.0,CH,1396,2001,1151,4548,0.2530782761653474,0.4399736147757256,0.306948109058927
L,R,9.0,CS,4,5,5,14,0.35714285714285715,0.35714285714285715,0.2857142857142857
L,R,9.0,CU,1382,2983,1722,6087,0.2828979793001479,0.49006078528010516,0.227041235419747
L,R,9.0,EP,8,6,1,15,0.06666666666666667,0.4,0.5333333333333333
L,R,9.0,FA,19,16,0,35,0.0,0.45714285714285713,0.5428571428571428
L,R,9.0,FC,1816,2653,946,5415,0.1746999076638966,0.4899353647276085,0.3353647276084949
L,R,9.0,FF,5760,4846,673,11279,0.059668410320063835,0.4296480184413512,0.510683571238585
L,R,9.0,FO,1,7,3,11,0.2727272727272727,0.6363636363636364,0.09090909090909091
L,R,9.0,FS,337,613,413,1363,0.30300807043286865,0.44974321349963314,0.24724871606749815
L,R,9.0,KC,505,1140,745,2390,0.3117154811715481,0.4769874476987448,0.2112970711297071
L,R,9.0,KN,25,29,21,75,0.28,0.38666666666666666,0.3333333333333333
L,R,9.0,SC,1,1,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
L,R,9.0,SI,2137,1636,290,4063,0.07137583066699484,0.4026581343834605,0.5259660349495446
L,R,9.0,SL,3225,5907,3341,12473,0.2678585745209653,0.47358293914856087,0.25855848633047385
L,R,9.0,ST,465,918,458,1841,0.2487778381314503,0.4986420423682781,0.2525801195002716
L,R,9.0,SV,76,155,72,303,0.2376237623762376,0.5115511551155115,0.2508250825082508
L,R,11.0,CH,3381,2854,1433,7668,0.18688054251434533,0.37219613980177363,0.44092331768388104
L,R,11.0,CS,6,1,0,7,0.0,0.14285714285714285,0.8571428571428571
L,R,11.0,CU,517,528,168,1213,0.13849958779884583,0.43528441879637264,0.42621599340478156
L,R,11.0,EP,60,24,2,86,0.023255813953488372,0.27906976744186046,0.6976744186046512
L,R,11.0,FA,58,51,11,120,0.09166666666666666,0.425,0.48333333333333334
L,R,11.0,FC,304,810,899,2013,0.4465971187282663,0.40238450074515647,0.15101838052657726
